tema,qtd_paginas,total_palavras,media_palavras_por_pagina,media_similaridade,maior_similaridade,pagina_maior_similaridade,url_pagina_maior_similaridade,observacao_curadoria
Institucional,20,72894,3644.7,0.5137,0.6717,Centro Universitário da FEI em São Paulo,https://portal.fei.edu.br/campus-sao-paulo,
Graduação / Ingresso / Cursos,15,79978,5331.87,0.478,0.616,Consulta de Currículos,https://portal.fei.edu.br/consulta-curriculos,
Pesquisa / Iniciação / Pós-graduação,14,43574,3112.43,0.5147,0.673,Qualificações e Acompanhamento - Iniciação Científica - FEI,https://portal.fei.edu.br/documentos-iniciacao,
Estágio e emprego,9,8502,944.67,0.4801,0.5432,Setor de Estágios e Empregos - FEI,https://portal.fei.edu.br/estagio-e-emprego,
Documentos e validações,9,36340,4037.78,0.4567,0.58,Validação Eletrônica de Documentos,https://portal.fei.edu.br/validacao-eletronica-de-documentos,
Projetos / Entidades / Extensão,8,122495,15311.88,0.4239,0.5368,Atlética,https://portal.fei.edu.br/atletica,
Pouco conteúdo textual,3,44,14.67,0.0,0.0,,,
Serviços ao aluno / Administrativo,3,703,234.33,0.5495,0.6394,Serviços - FEI,https://portal.fei.edu.br/servicos,
Financeiro / Bolsas,2,753,376.5,0.392,0.5225,Crédito Educativo para Pós-graduação,https://portal.fei.edu.br/credito-educativo-para-pos-graduacao,
Notícias / Eventos,1,154,154.0,0.582,0.582,Sala de Imprensa,https://portal.fei.edu.br/sala-de-imprensa,
