id,titulo,categoria,prioridade,tipo_documento,origem,url,data_acesso,status_validacao,caminho_html,caminho_texto,qtd_caracteres,qtd_linhas,observacoes
DOC001,Serviços FEI,Serviços ao aluno / Administrativo,Alta,HTML,Portal institucional FEI,https://portal.fei.edu.br/servicos,2026-08-31,A avaliar,documentos/html_bruto\DOC001_servi_os_fei.html,documentos/textos_limpos\DOC001_servi_os_fei.txt,929,21,Fonte pública do portal institucional
DOC002,Secretaria,Serviços ao aluno / Administrativo,Alta,HTML,Portal institucional FEI,https://portal.fei.edu.br/secretaria,2026-08-31,A avaliar,documentos/html_bruto\DOC002_secretaria.html,documentos/textos_limpos\DOC002_secretaria.txt,9626,203,Fonte pública do portal institucional
DOC003,Biblioteca FEI,Serviços ao aluno / Administrativo,Alta,HTML,Portal institucional FEI,https://portal.fei.edu.br/biblioteca,2026-08-31,A avaliar,documentos/html_bruto\DOC003_biblioteca_fei.html,documentos/textos_limpos\DOC003_biblioteca_fei.txt,36712,505,Fonte pública do portal institucional
DOC004,NAE - Núcleo de Apoio ao Estudante,Serviços ao aluno / Administrativo,Alta,HTML,Portal institucional FEI,https://portal.fei.edu.br/nae-nucleo-de-apoio-ao-estudante,2026-08-31,A avaliar,documentos/html_bruto\DOC004_nae_n_cleo_de_apoio_ao_estudante.html,documentos/textos_limpos\DOC004_nae_n_cleo_de_apoio_ao_estudante.txt,3160,14,Fonte pública do portal institucional
DOC005,Fretados,Serviços ao aluno / Administrativo,Alta,HTML,Portal institucional FEI,https://portal.fei.edu.br/fretados,2026-08-31,A avaliar,documentos/html_bruto\DOC005_fretados.html,documentos/textos_limpos\DOC005_fretados.txt,491,6,Fonte pública do portal institucional
DOC006,Tesouraria,Financeiro / Bolsas,Alta,HTML,Portal institucional FEI,https://portal.fei.edu.br/tesouraria,2026-08-31,A avaliar,documentos/html_bruto\DOC006_tesouraria.html,documentos/textos_limpos\DOC006_tesouraria.txt,532,24,Fonte pública do portal institucional
DOC007,Bolsas de Estudo de Graduação,Financeiro / Bolsas,Alta,HTML,Portal institucional FEI,https://portal.fei.edu.br/bolsas-de-estudo-de-graduacao,2026-08-31,A avaliar,documentos/html_bruto\DOC007_bolsas_de_estudo_de_gradua_o.html,documentos/textos_limpos\DOC007_bolsas_de_estudo_de_gradua_o.txt,9559,170,Fonte pública do portal institucional
DOC008,Estágio e Emprego,Estágio e emprego,Alta,HTML,Portal institucional FEI,https://portal.fei.edu.br/estagio-e-emprego,2026-08-31,A avaliar,documentos/html_bruto\DOC008_est_gio_e_emprego.html,documentos/textos_limpos\DOC008_est_gio_e_emprego.txt,899,15,Fonte pública do portal institucional
DOC009,Diploma Digital,Documentos e validações,Alta,HTML,Portal institucional FEI,https://portal.fei.edu.br/diploma-digital,2026-08-31,A avaliar,documentos/html_bruto\DOC009_diploma_digital.html,documentos/textos_limpos\DOC009_diploma_digital.txt,8307,98,Fonte pública do portal institucional
DOC010,Consulta de Diplomas de Graduação,Documentos e validações,Alta,HTML,Portal institucional FEI,https://portal.fei.edu.br/consulta-diplomas-graduacao,2026-08-31,A avaliar,documentos/html_bruto\DOC010_consulta_de_diplomas_de_gradua_o.html,documentos/textos_limpos\DOC010_consulta_de_diplomas_de_gradua_o.txt,353,24,Fonte pública do portal institucional
